velocidad:	9,732m/s
impactor:	3,5kg
ángulo:	50º
HIC:	472.3
Impacto en medio del capó	
tiempo	X	Y	Z
000000000000TI00	D0HEAD0000PCACXP	D0HEAD0000PCACYP	D0HEAD0000PCACZP
0.0152	-2.418352194	-0.009241788	21.45078101
0.01525	-2.353970118	-0.041669159	21.53179373
0.0153	-2.418352194	-0.057882874	21.66141142
0.01535	-2.498829908	-0.041669159	21.88824477
0.0154	-2.627594061	-0.025455503	22.08267226
0.01545	-2.708071537	-0.057882874	22.39051833
0.0155	-2.772453613	-0.009241788	22.503935
0.01555	-2.772453613	-0.041669159	22.52013602
0.0156	-2.772453613	-0.009241788	22.42292227
0.01565	-2.804644651	0.055612953	22.40671935
0.0157	-2.852931328	0.152895064	22.34191145
0.01575	-2.852931328	0.250177176	22.26089873
0.0158	-2.885122366	0.298818202	22.08267226
0.01585	-2.901218004	0.363673003	21.90444769
0.0159	-2.869026966	0.396100314	21.80723204
0.01595	-2.756358213	0.412313969	21.61280455
0.016	-2.724167175	0.298818202	21.11053099
0.01605	-2.643689461	0.152895064	20.52724661
0.0161	-2.627594061	0.023185582	19.99256911
0.01615	-2.627594061	-0.025455503	19.70092787
0.0162	-2.772453613	0.006971867	19.53890433
0.01625	-3.046077557	0.055612953	19.55510535
0.0163	-3.239223785	0.20153609	19.55510535
0.01635	-3.223128386	0.331245573	19.44168868
0.0164	-3.078268595	0.460955055	19.23105826
0.01645	-2.804644651	0.623091967	19.05283369
0.0165	-2.804644651	0.671732934	19.00422491
0.01655	-2.788549252	0.639305623	18.97182097
0.0166	-2.869026966	0.655519278	19.15004744
0.01665	-2.949504442	0.606878192	19.00422491
0.0167	-2.96560008	0.542023451	18.64777388
0.01675	-2.901218004	0.396100314	18.03208556
0.0168	-2.772453613	0.298818202	17.38399138
0.01685	-2.659785099	0.217749805	16.97893156
0.0169	-2.708071537	0.185322435	16.80070509
0.01695	-2.804644651	0.16910872	16.76830115
0.017	-2.852931328	0.20153609	16.5414678
0.01705	-2.933409042	0.282604547	16.26602854
0.0171	-2.82074029	0.20153609	15.90957655
0.01715	-2.740262575	0.20153609	15.56932749
0.0172	-2.804644651	0.185322435	15.2452804
0.01725	-2.852931328	0.152895064	14.95363726
0.0173	-2.997791119	0.136681349	14.51617445
0.01735	-2.949504442	0.120467694	14.20832934
0.0174	-2.82074029	0.16910872	13.85187735
0.01745	-2.659785099	0.217749805	13.36580672
0.0175	-2.627594061	0.104253979	13.00935568
0.01755	-2.498829908	0.055612953	12.71771254
0.0176	-2.46663887	0.088040323	12.60429682
0.01765	-2.48273427	0.088040323	12.73391547
0.0177	-2.514925308	0.104253979	13.1227714
0.01775	-2.611498423	0.152895064	13.30099787
0.0178	-2.724167175	0.104253979	13.39821162
0.01785	-2.724167175	-0.025455503	13.39821162
0.0179	-2.724167175	-0.171378641	13.43061652
0.01795	-2.708071537	-0.252447067	13.52783026
0.018	-2.691976137	-0.365942864	13.62504496
0.01805	-2.83683569	-0.398370235	13.57643809
0.0181	-2.804644651	-0.479438676	13.46302142
0.01815	-2.643689461	-0.479438676	13.33340277
0.0182	-2.531020947	-0.414583935	13.36580672
0.01825	-2.434447832	-0.398370235	13.34960474
0.0183	-2.450543232	-0.301088123	13.36580672
0.01835	-2.48273427	-0.317301809	13.41441454
0.0184	-2.531020947	-0.398370235	13.54403319
0.01845	-2.724167175	-0.333515494	13.57643809
0.0185	-2.933409042	-0.268660753	13.7870685
0.01855	-2.997791119	-0.301088123	13.88428225
0.0186	-3.062173195	-0.236233382	13.90048422
0.01865	-2.98169548	-0.171378641	13.85187735
0.0187	-3.126555271	-0.155164956	13.81947245
0.01875	-3.3197015	-0.236233382	13.83567538
0.0188	-3.384083576	-0.252447067	13.77086558
0.01885	-3.367987938	-0.268660753	13.7870685
0.0189	-3.239223785	-0.187592326	13.94909205
0.01895	-3.190937347	-0.074096529	14.20832934
0.019	-3.190937347	-0.057882874	14.53237643
0.01905	-3.207032747	-0.090310245	14.72680487
0.0191	-3.190937347	-0.187592326	14.69439997
0.01915	-3.255319424	-0.236233382	14.6457931
0.0192	-3.190937347	-0.398370235	14.49997153
0.01925	-3.094364233	-0.495652362	14.46756663
0.0193	-3.142650671	-0.479438676	14.51617445
0.01935	-3.239223785	-0.414583935	14.53237643
0.0194	-3.223128386	-0.333515494	14.56478133
0.01945	-3.207032747	-0.236233382	14.56478133
0.0195	-3.223128386	-0.203806012	14.6457931
0.01955	-3.287510462	-0.122737615	14.74300684
0.0196	-3.239223785	-0.074096529	14.80781664
0.01965	-3.190937347	-0.090310245	14.62959017
0.0197	-3.142650671	-0.138951271	14.48376955
0.01975	-3.013886518	-0.301088123	14.30554308
0.0198	-2.933409042	-0.38215655	14.11111559
0.01985	-2.852931328	-0.447011306	14.06250777
0.0199	-2.885122366	-0.349729179	13.98149599
0.01995	-2.901218004	-0.236233382	13.98149599
0.02	-2.869026966	-0.155164956	13.93288912
0.02005	-2.83683569	-0.1065239	13.7870685
0.0201	-2.772453613	-0.171378641	13.72225871
0.02015	-2.83683569	-0.138951271	13.52783026
0.0202	-2.82074029	-0.203806012	13.47922339
0.02025	-2.691976137	-0.171378641	13.26859297
0.0203	-2.627594061	-0.171378641	12.99315276
0.02035	-2.563211985	-0.171378641	12.70151057
0.0204	-2.337874718	-0.171378641	12.44227328
0.02045	-2.257397003	-0.1065239	12.23164191
0.0205	-2.225205965	-0.138951271	12.06961836
0.02055	-2.209110327	-0.138951271	11.92379775
0.0206	-2.257397003	-0.090310245	11.90759482
0.02065	-2.144728251	-0.057882874	11.90759482
0.0207	-2.048155136	-0.009241788	12.02101149
0.02075	-2.096441813	0.104253979	12.11822619
0.0208	-2.080346174	0.152895064	12.29645171
0.02085	-2.176919289	0.16910872	12.45847525
0.0209	-2.321779079	0.233963461	12.65290369
0.02095	-2.321779079	0.347459228	12.81492724
0.021	-2.450543232	0.412313969	12.81492724
0.02105	-2.337874718	0.396100314	12.66910567
0.0211	-2.209110327	0.233963461	12.32885661
0.02115	-2.112537212	0.088040323	11.92379775
0.0212	-1.935486622	-0.090310245	11.6645595
0.02125	-1.855008907	-0.187592326	11.55114378
0.0213	-1.774531312	-0.1065239	11.50253691
0.02135	-1.710149236	-0.025455503	11.59975066
0.0214	-1.726244755	0.023185582	11.63215556
0.02145	-1.742340274	0.088040323	11.55114378
0.0215	-1.726244755	0.20153609	11.50253691
0.02155	-1.726244755	0.250177176	11.40532221
0.0216	-1.661862679	0.298818202	11.32431044
0.02165	-1.597480602	0.298818202	11.14608492
0.0217	-1.581385083	0.266390831	11.01646628
0.02175	-1.533098526	0.250177176	10.88684668
0.0218	-1.452620931	0.315031917	10.75722804
0.02185	-1.388238854	0.460955055	10.59520449
0.0219	-1.259474583	0.525809796	10.40077605
0.02195	-1.13071043	0.623091967	10.28736033
0.022	-1.034137316	0.671732934	10.31976427
0.02205	-1.001946278	0.81765619	10.3359672
0.0221	-1.001946278	0.898724587	10.38457407
0.02215	-0.985850759	0.996006639	10.49799075
0.0222	-0.985850759	1.125716121	10.69241919
0.02225	-1.082423873	1.206784637	10.87064471
0.0223	-1.291665621	1.287853034	11.14608492
0.02235	-1.533098526	1.385135086	11.47013201
0.0224	-1.597480602	1.482417257	11.6645595
0.02245	-1.549194045	1.482417257	11.71316733
0.0225	-1.484811969	1.401348741	11.64835753
0.02255	-1.46871645	1.255425603	11.53494086
0.0226	-1.452620931	1.206784637	11.40532221
0.02265	-1.356047697	1.109502466	11.30810847
